"datetime","location","severity"
2020-04-06,1,5.11
2020-04-06 03:00:00,1,5.12
2020-04-06 06:00:00,1,4.93
2020-04-06 09:00:00,1,4.83
2020-04-06 12:00:00,1,4.02
2020-04-06 15:00:00,1,2.24
2020-04-06 18:00:00,1,3.5
2020-04-06 21:00:00,1,4.8
2020-04-07,1,5.17
2020-04-07 03:00:00,1,5.09
2020-04-07 06:00:00,1,4.96
2020-04-07 09:00:00,1,5.15
2020-04-07 12:00:00,1,4.83
2020-04-07 15:00:00,1,5.08
2020-04-07 18:00:00,1,4.78
2020-04-07 21:00:00,1,4.88
2020-04-08,1,5.38
2020-04-08 03:00:00,1,5.4
2020-04-08 06:00:00,1,5.52
2020-04-08 09:00:00,1,4.42
2020-04-08 12:00:00,1,3.19
2020-04-08 15:00:00,1,4.17
2020-04-08 18:00:00,1,5.35
2020-04-08 21:00:00,1,5.14
2020-04-09,1,5.26
2020-04-09 03:00:00,1,4.73
2020-04-09 06:00:00,1,4.92
2020-04-09 09:00:00,1,4.97
2020-04-09 12:00:00,1,4.76
2020-04-09 15:00:00,1,3.13
2020-04-09 18:00:00,1,3.88
2020-04-09 21:00:00,1,4.6
2020-04-10,1,4.54
2020-04-10 03:00:00,1,5.17
2020-04-10 06:00:00,1,4.75
2020-04-10 09:00:00,1,5.14
2020-04-10 12:00:00,1,4.91
2020-04-10 15:00:00,1,4.91
2020-04-10 18:00:00,1,4.73
2020-04-10 21:00:00,1,4.97
2020-04-11,1,5.77
2020-04-06,2,4.76
2020-04-06 03:00:00,2,5.07
2020-04-06 06:00:00,2,4.97
2020-04-06 09:00:00,2,4.91
2020-04-06 12:00:00,2,4.43
2020-04-06 15:00:00,2,3.54
2020-04-06 18:00:00,2,3.97
2020-04-06 21:00:00,2,4.83
2020-04-07,2,5.15
2020-04-07 03:00:00,2,5.61
2020-04-07 06:00:00,2,5.3
2020-04-07 09:00:00,2,5.48
2020-04-07 12:00:00,2,5.29
2020-04-07 15:00:00,2,5.59
2020-04-07 18:00:00,2,5.23
2020-04-07 21:00:00,2,5.29
2020-04-08,2,4.75
2020-04-08 03:00:00,2,4.8
2020-04-08 06:00:00,2,3.9
2020-04-08 09:00:00,2,3.78
2020-04-08 12:00:00,2,3.8
2020-04-08 15:00:00,2,4.08
2020-04-08 18:00:00,2,4.59
2020-04-08 21:00:00,2,4.79
2020-04-09,2,4.61
