"location","bin_start_rel","bin_timestamp","attribute","n_reports","mean_norm","sd_norm","se_norm","total_reports"
1,0,2020-04-06,"buildings",17,0.582352941176471,0.31669246540936,0.0768092050423564,17
1,0,2020-04-06,"medical",17,0.658823529411765,0.252633191429323,0.0612725489882343,17
1,0,2020-04-06,"roads_and_bridges",17,0.441176470588235,0.341062354140361,0.0827197712377955,17
1,0,2020-04-06,"power",17,0.564705882352941,0.427114118928695,0.103590389796214,17
1,0,2020-04-06,"sewer_and_water",17,0.582352941176471,0.341385585001855,0.0827981662368191,17
1,0,2020-04-06,"shake_intensity",2,0.05,0.0707106781186548,0.05,17
2,0,2020-04-06,"buildings",56,0.560714285714286,0.323435294317719,0.0432208592188321,56
2,0,2020-04-06,"medical",1,0.2,NA,NA,56
2,0,2020-04-06,"roads_and_bridges",56,0.544642857142857,0.330794988890891,0.0442043397746931,56
2,0,2020-04-06,"power",56,0.496428571428571,0.326393118083803,0.0436161150453729,56
2,0,2020-04-06,"sewer_and_water",56,0.580357142857143,0.356457133904889,0.0476335881479821,56
2,0,2020-04-06,"shake_intensity",15,0.06,0.050709255283711,0.0130930734141595,56
3,0,2020-04-06,"buildings",45,0.513333333333333,0.316658692084596,0.0472046907444888,45
3,0,2020-04-06,"medical",45,0.562222222222222,0.336620158803853,0.050180370512146,45
3,0,2020-04-06,"roads_and_bridges",45,0.544444444444444,0.365286659261385,0.0544537200921507,45
3,0,2020-04-06,"power",45,0.511111111111111,0.354979014886938,0.0529171471915402,45
3,0,2020-04-06,"sewer_and_water",45,0.484444444444444,0.354808242419605,0.052891689935164,45
3,0,2020-04-06,"shake_intensity",6,0.05,0.0547722557505166,0.0223606797749979,45
4,0,2020-04-06,"buildings",15,0.533333333333333,0.355902608401044,0.0918936583472681,15
4,0,2020-04-06,"medical",0,NA,NA,NA,15
4,0,2020-04-06,"roads_and_bridges",15,0.66,0.318029648213586,0.0821149020754281,15
4,0,2020-04-06,"power",15,0.466666666666667,0.349829890633937,0.0903256893620534,15
4,0,2020-04-06,"sewer_and_water",15,0.713333333333333,0.294876891180677,0.0761368859149453,15
4,0,2020-04-06,"shake_intensity",2,0.05,0.0707106781186548,0.05,15
5,0,2020-04-06,"buildings",24,0.591666666666667,0.346305553279014,0.0706893250521499,24
