"interval_start","open","high","low","close","volume"
2020-04-06,3.692,8.438,2.708,4.615,50
2020-04-06 00:30:00,5.676,6.923,1.85,1.85,41
2020-04-06 01:00:00,1.815,10,0.565,8.438,51
2020-04-06 01:30:00,6.371,8.958,1.618,4.01,40
2020-04-06 02:00:00,5.51,10,1.29,6.243,42
2020-04-06 02:30:00,4.694,8.974,1.212,7.174,49
2020-04-06 03:00:00,6.531,9.783,2.051,4.348,43
2020-04-06 03:30:00,5.128,8.306,1.04,5,37
2020-04-06 04:00:00,7.436,9.348,1.146,7.75,50
2020-04-06 04:30:00,5,7.823,1.75,6.5,29
2020-04-06 05:00:00,2.308,8.065,0.625,5.573,44
2020-04-06 05:30:00,6.667,9.559,0,8.177,48
2020-04-06 06:00:00,5.385,8.043,2.256,5.217,52
2020-04-06 06:30:00,5.442,8.182,2.016,4.624,45
2020-04-06 07:00:00,6.735,9.565,1.667,4.25,68
2020-04-06 07:30:00,3.696,9.394,2.4,6.532,53
2020-04-06 08:00:00,7.097,10,0.323,3.49,49
2020-04-06 08:30:00,5.51,9.348,0.625,5.417,52
2020-04-06 09:00:00,5.887,10,0.323,8,51
2020-04-06 09:30:00,1.538,9,1.538,5.833,50
2020-04-06 10:00:00,1.633,9.189,1.406,7.135,45
2020-04-06 10:30:00,2.742,8.043,1.212,6.25,43
2020-04-06 11:00:00,3.226,9.091,1.739,4.891,52
2020-04-06 11:30:00,5.782,9.516,2.564,3.478,49
2020-04-06 12:00:00,5.918,8,1.406,4.01,53
2020-04-06 12:30:00,3.333,9.274,2.486,6,41
2020-04-06 13:00:00,3.468,9.758,2.121,3.913,50
2020-04-06 13:30:00,5.897,8.75,1.4,4.509,52
2020-04-06 14:00:00,8.462,9.73,1.739,4.13,56
2020-04-06 14:30:00,5.645,8.306,0,0.694,195
2020-04-06 15:00:00,3.692,7.692,0,0.2,173
2020-04-06 15:30:00,5.918,9.274,0,0.462,138
2020-04-06 16:00:00,8,8.043,0,0.694,766
2020-04-06 16:30:00,4.359,8.696,0,0.925,572
2020-04-06 17:00:00,7.179,10,0,0.694,422
2020-04-06 17:30:00,7.949,9.13,0,0.833,290
2020-04-06 18:00:00,4.872,9.219,0,0.925,189
2020-04-06 18:30:00,3.692,9.348,0,0.41,146
2020-04-06 19:00:00,6.359,8.79,0,0.694,124
2020-04-06 19:30:00,3.878,9.394,0,0.6,85
2020-04-06 20:00:00,5.744,8.5,0,0.4,71
2020-04-06 20:30:00,2.016,10,0,6.474,63
2020-04-06 21:00:00,7.581,9.5,0.202,1.613,65
2020-04-06 21:30:00,6.667,9.487,0.205,1.774,60
2020-04-06 22:00:00,3.469,8.974,0,0.833,67
2020-04-06 22:30:00,7.339,9.479,0,5.665,56
2020-04-06 23:00:00,5.385,9.516,0.4,0.4,47
2020-04-06 23:30:00,6.216,8.897,0.6,0.6,49
2020-04-07,4.592,9.5,0.181,0.615,60
2020-04-07 00:30:00,5.135,9.338,0.6,6.012,56
2020-04-07 01:00:00,5.897,8.571,1.939,4.509,47
2020-04-07 01:30:00,5.405,9.13,0.543,0.543,36
2020-04-07 02:00:00,3.469,9.758,2.188,4.615,46
2020-04-07 02:30:00,4.615,9.422,3.353,6.522,47
2020-04-07 03:00:00,7.436,8.266,0.202,0.202,53
2020-04-07 03:30:00,6.615,8.897,2.051,2.969,54
2020-04-07 04:00:00,2.564,9.39,2.564,4.01,42
2020-04-07 04:30:00,7.179,8.235,0.435,6.75,47
2020-04-07 05:00:00,7.917,8.456,1.397,5.5,38
2020-04-07 05:30:00,5.385,8.718,1.661,6.522,55
2020-04-07 06:00:00,6.087,9.133,1.774,9.133,39
2020-04-07 06:30:00,4.082,8.478,1.087,6.532,50
2020-04-07 07:00:00,5.744,9.032,1.351,8.25,37
2020-04-07 07:30:00,3.71,8.776,1.04,4.242,38
2020-04-07 08:00:00,4.615,9.487,0.806,4.271,42
2020-04-07 08:30:00,9.032,9.422,2.678,4.509,58
2020-04-07 09:00:00,6.154,8.462,2.708,5,46
2020-04-07 09:30:00,3.71,9.75,2.016,5.665,53
2020-04-07 10:00:00,2.721,9.13,1.329,5.75,49
2020-04-07 10:30:00,4.359,9.133,1.459,9.133,41
2020-04-07 11:00:00,6.41,9.274,1.5,4.529,53
2020-04-07 11:30:00,5.918,9.73,2.857,4.162,49
2020-04-07 12:00:00,5.641,9.348,0.625,3.75,50
2020-04-07 12:30:00,1.282,8.958,1.282,4.22,39
2020-04-07 13:00:00,1.993,8.696,1.993,4.783,43
2020-04-07 13:30:00,4.872,9.758,1.927,6.667,54
2020-04-07 14:00:00,5.04,9.051,2.083,8.205,53
2020-04-07 14:30:00,4.435,8.75,1.25,3.75,36
2020-04-07 15:00:00,6.129,9.5,0.365,6.25,46
2020-04-07 15:30:00,5.897,8.718,1.75,4.872,44
2020-04-07 16:00:00,6.122,7.391,2.188,5.665,39
2020-04-07 16:30:00,7.949,8.974,1.927,4.798,51
2020-04-07 17:00:00,8.696,8.958,2.174,4.792,54
2020-04-07 17:30:00,5.538,8.974,2.206,5.147,34
2020-04-07 18:00:00,1.538,9.348,1.538,4.162,40
2020-04-07 18:30:00,8.79,9.367,2.258,6.957,54
2020-04-07 19:00:00,7.297,8.79,1.927,2.775,53
2020-04-07 19:30:00,4.103,8.462,0.256,4.4,58
2020-04-07 20:00:00,5.897,8.306,1.641,6.371,46
2020-04-07 20:30:00,4.49,8.261,1.458,6.354,53
2020-04-07 21:00:00,5.405,9.758,1.613,4.75,41
2020-04-07 21:30:00,5.847,8.958,2.486,5,44
2020-04-07 22:00:00,5.306,9.051,2,7.977,42
2020-04-07 22:30:00,3.282,9.118,0.403,4.271,50
2020-04-07 23:00:00,1.613,9.684,1.21,4.783,45
2020-04-07 23:30:00,4.286,9.75,2,6.923,47
2020-04-08,5.887,8.913,0.806,4.051,41
2020-04-08 00:30:00,8.306,9.348,0.75,4.5,45
2020-04-08 01:00:00,5.385,10,0.885,9.25,56
2020-04-08 01:30:00,4.919,8.734,0.506,4,49
2020-04-08 02:00:00,5.645,9.684,0.303,6,39
2020-04-08 02:30:00,4.286,8.205,2.083,3.75,50
2020-04-08 03:00:00,5.918,8.974,1.75,7.75,50
2020-04-08 03:30:00,5.897,9.051,2,5.385,46
2020-04-08 04:00:00,2.324,8.676,0.735,1.04,63
2020-04-08 04:30:00,4.694,9.783,2,5.75,34
2020-04-08 05:00:00,8.79,9.758,1.908,1.908,39
2020-04-08 05:30:00,6.129,8.576,1.156,6.739,51
2020-04-08 06:00:00,4.103,7.917,1.406,3.804,45
2020-04-08 06:30:00,6.667,8.913,1,8.555,55
2020-04-08 07:00:00,4.694,9.25,1.282,3.931,50
2020-04-08 07:30:00,4.872,9.796,1.676,6.615,42
2020-04-08 08:00:00,3.71,8.108,1.927,3.229,46
2020-04-08 08:30:00,4.103,9.412,0.5,5.652,7279
2020-04-08 09:00:00,5.128,10,0.885,4.054,8574
2020-04-08 09:30:00,6.471,9.706,0.694,4.486,5060
2020-04-08 10:00:00,4.265,9.711,0.694,0.694,4599
2020-04-08 10:30:00,6.25,9.5,0.253,1.156,4167
2020-04-08 11:00:00,10,10,0.694,1.387,3197
2020-04-08 11:30:00,4.792,9.412,0.694,1.04,2883
2020-04-08 12:00:00,8.478,8.974,0,3.333,1788
2020-04-08 12:30:00,4.359,8.354,0.462,1.156,803
2020-04-08 13:00:00,5.897,8.043,0.925,3.333,581
2020-04-08 13:30:00,6.048,9.133,0.759,0.925,408
2020-04-08 14:00:00,7.179,8.177,0.462,0.462,279
2020-04-08 14:30:00,4.898,8.5,1.156,3.542,235
2020-04-08 15:00:00,6.522,8.974,0.925,3.542,183
2020-04-08 15:30:00,5.51,8.696,0.694,5.652,131
2020-04-08 16:00:00,3.952,8.235,1.812,3.282,119
2020-04-08 16:30:00,6.359,8.043,1.75,1.85,97
2020-04-08 17:00:00,8.205,9.274,1.519,1.618,83
2020-04-08 17:30:00,6.154,8.235,2.041,4.375,54
2020-04-08 18:00:00,4.435,8.734,1.282,4.375,58
2020-04-08 18:30:00,3.544,8.555,2.174,2.174,44
2020-04-08 19:00:00,9.487,9.487,1.85,6.243,39
2020-04-08 19:30:00,7.568,8.555,1.436,5.75,41
2020-04-08 20:00:00,7.143,8.974,2,2.872,37
2020-04-08 20:30:00,8.065,10,1.75,10,40
2020-04-08 21:00:00,6.923,9.231,2.162,4,38
2020-04-08 21:30:00,5.616,10,1.85,4.792,26
2020-04-08 22:00:00,6.154,7.755,1.268,3.229,40
2020-04-08 22:30:00,4.694,8.718,2.564,3.5,30
2020-04-08 23:00:00,6.087,10,2.245,4.509,32
2020-04-08 23:30:00,8.205,8.824,1.838,5.665,1924
2020-04-09,5.887,9.032,2.872,4.75,34
2020-04-09 00:30:00,5.128,9.565,2.174,9.565,40
2020-04-09 01:00:00,3.59,8.79,1.2,7.399,4528
2020-04-09 01:30:00,7.436,8.065,1.29,6.75,37
2020-04-09 02:00:00,3.673,8.696,2.722,3.5,50
2020-04-09 02:30:00,3.692,10,1.436,3.468,35
2020-04-09 03:00:00,5.403,7.971,0.925,7.971,34
2020-04-09 03:30:00,5.102,9.516,1.795,5.25,45
2020-04-09 04:00:00,3.468,8.5,0,6.154,40
2020-04-09 04:30:00,5.161,10,0.751,4.509,1406
2020-04-09 05:00:00,5.161,8.065,1,3.75,41
2020-04-09 05:30:00,6.531,8.897,0.625,6.75,54
2020-04-09 06:00:00,3.333,8.261,1.146,6.912,47
2020-04-09 06:30:00,4.919,7.959,0.323,7.396,40
2020-04-09 07:00:00,5,9.338,1.304,5.665,41
2020-04-09 07:30:00,5.641,7.977,2.2,2.821,38
