"location","time_bin","n_reports","composite_severity","miss_cells","missing_rate","local_uncertainty"
1,"2020-04-06T00:00:00Z",1,5,1,1,NA
1,"2020-04-06T01:00:00Z",3,5.2,2,0.666666666666667,0.464482103819373
1,"2020-04-06T02:00:00Z",7,5.88571428571429,7,1,0.242761859367187
1,"2020-04-06T03:00:00Z",3,5.8,3,1,0.511097221679645
1,"2020-04-06T04:00:00Z",2,5.3,2,1,0.598994949366117
1,"2020-04-06T05:00:00Z",1,6.4,0,0,NA
1,"2020-04-06T06:00:00Z",4,4.75,2,0.5,0.4
1,"2020-04-06T07:00:00Z",4,5,4,1,0.368883696667513
1,"2020-04-06T08:00:00Z",3,6.46666666666667,3,1,0.518085419474014
1,"2020-04-06T09:00:00Z",3,6.4,3,1,0.405444358842613
1,"2020-04-06T10:00:00Z",3,4.4,3,1,0.583133253269269
1,"2020-04-06T11:00:00Z",4,6.25,2,0.5,0.470529665426974
1,"2020-04-06T12:00:00Z",3,5,3,1,0.42498484723245
1,"2020-04-06T13:00:00Z",1,6.4,1,1,NA
1,"2020-04-06T14:00:00Z",8,3.15,4,0.5,0.387895959866799
1,"2020-04-06T15:00:00Z",8,3.825,6,0.75,0.377855125092837
1,"2020-04-06T16:00:00Z",17,1.24705882352941,2,0.117647058823529,0.274639355032212
1,"2020-04-06T17:00:00Z",10,2.44,4,0.4,0.362094130673186
1,"2020-04-06T18:00:00Z",2,0.2,0,0,0.528284271247462
1,"2020-04-06T19:00:00Z",6,4.53333333333333,4,0.666666666666667,0.377443009425209
1,"2020-04-06T20:00:00Z",2,4.1,1,0.5,1
1,"2020-04-06T21:00:00Z",2,6.1,1,0.5,0.542426406871193
1,"2020-04-06T22:00:00Z",6,6.13333333333333,5,0.833333333333333,0.317751631724963
1,"2020-04-06T23:00:00Z",2,4,2,1,0.811126983722081
1,"2020-04-07T00:00:00Z",2,6,0,0,0.584852813742386
1,"2020-04-07T01:00:00Z",5,7.64,5,1,0.245607017003966
1,"2020-04-07T02:00:00Z",4,4.5,4,1,0.430739222823013
1,"2020-04-07T03:00:00Z",3,5.66666666666667,2,0.666666666666667,0.480755629249973
1,"2020-04-07T04:00:00Z",3,5.86666666666667,3,1,0.547186865764606
1,"2020-04-07T05:00:00Z",3,6.33333333333333,2,0.666666666666667,0.503431344295641
1,"2020-04-07T06:00:00Z",3,4.4,2,0.666666666666667,0.405444358842613
