"location","n","mean_sev","sd_sev","adjusted","rating"
3,13535,6.9469437261421,1.6786506860469,6.65113764170731,10
8,13889,6.85867393060856,1.53282893697003,6.58531259554813,9.73
9,8796,6.12712722954879,1.65555036586178,5.92984705145764,7.04
14,6429,5.82600629093863,1.24401782939472,5.67886849538219,6.01
10,2213,5.64383692323141,1.33128341607099,5.48785062363862,5.23
7,173,5.88156915055929,1.03626826064124,5.40434116738739,4.89
11,2844,5.09102398812314,1.06843309470053,5.24177070505374,4.22
1,1662,4.72191469447787,2.09007425463931,5.15122004422027,3.85
17,1727,4.64011130412404,1.09625800730419,5.11649522835937,3.71
13,1226,4.05248323364147,1.76855194729203,5.0062770475381,3.26
4,2919,4.39126984126984,1.33434564822362,4.90306879897943,2.83
5,1710,3.84912280701754,1.64610362412518,4.83956591768169,2.57
16,3145,4.18591944886063,1.83304194365634,4.78200464181419,2.34
12,3463,3.93945519299259,1.02376969280307,4.62415645636773,1.69
18,4545,4.10461068329055,1.06141061403886,4.62542887983097,1.69
19,1515,2.93092775944261,2.09693396036663,4.58249958924896,1.52
2,5390,4.01559987631416,1.47577340236098,4.51765387975137,1.25
6,3160,3.19740857946554,2.36484270942051,4.28515521672573,0.3
15,4729,3.43721834543361,1.81498713913067,4.21243308177548,0
