"location","n","mean_sev","sd_sev","adjusted","rating"
3,13535,7.51043303369864,1.57455012607007,7.14382334716487,10
8,13889,6.94335085319317,1.58837614245104,6.68906083829981,8.45
9,8796,6.03973965438836,1.75569112265543,5.9149830265136,5.8
11,2844,6.30318604469448,1.20254215444922,5.91610008861413,5.8
14,6429,5.94561881059781,1.13128661151034,5.820936458422,5.48
10,2213,6.13109404026711,1.71034669618583,5.79943513077828,5.4
7,173,6.9131331096649,0.923525534559958,5.6362972717212,4.85
1,1662,4.70132704907073,2.9633086931776,5.26708297798096,3.58
4,2919,4.69794450154162,1.34119785261439,5.14817980204468,3.18
5,1710,4.27777128005198,1.49936660540301,5.11230714901912,3.05
17,1727,4.11204722383066,1.17013693851949,5.05065022068031,2.84
13,1226,3.66861972086279,1.79883265723891,5.03385726318387,2.79
18,4545,4.56073707370737,1.11351053216588,4.97188716769817,2.57
12,3463,4.39965027112009,0.942687677690118,4.95478983179295,2.52
16,3145,4.28783783783784,1.78319185057406,4.92694949437185,2.42
19,1515,2.84679134580125,2.07513658146404,4.68200669710039,1.58
2,5390,3.86106060606061,1.39550663669238,4.48932384139023,0.92
6,3160,3.01037623066104,2.38005605850539,4.28517862148895,0.23
15,4729,3.32307041657856,1.77342481539954,4.21895635250177,0
