"date","timestamp","sewer_and_water","power","roads_and_bridges","medical","buildings","shake_intensity","location"
2020-04-08,"17:50:00",10,6,10,3,8,NA,1
2020-04-09,"13:50:00",2,10,0,8,4,0,1
2020-04-09,"00:20:00",7,10,10,9,10,0,1
2020-04-08,"17:25:00",1,1,2,10,7,NA,1
2020-04-08,"02:50:00",9,7,1,6,9,NA,1
2020-04-09,"05:30:00",2,7,3,10,10,NA,1
2020-04-08,"04:30:00",2,10,1,2,8,NA,1
2020-04-10,"11:00:00",5,0,4,10,8,NA,1
2020-04-10,"19:40:00",10,7,7,1,3,0,1
2020-04-07,"22:00:00",6,6,5,7,2,NA,1
2020-04-09,"23:00:00",4,0,6,7,5,0,1
2020-04-08,"15:30:00",2,4,9,6,6,NA,1
2020-04-08,"20:10:00",2,2,2,7,4,NA,1
2020-04-10,"15:05:00",1,7,5,10,5,1,1
2020-04-06,"08:30:00",0,5,10,5,7,NA,1
2020-04-06,"10:25:00",9,2,2,9,10,NA,1
2020-04-06,"02:25:00",0,8,2,8,10,NA,1
2020-04-10,"03:55:00",2,10,1,8,9,NA,1
2020-04-09,"21:25:00",8,5,3,1,0,NA,1
2020-04-10,"08:25:00",3,6,8,10,3,NA,1
2020-04-10,"21:25:00",10,6,3,4,5,NA,1
2020-04-09,"23:55:00",0,4,0,6,5,NA,1
2020-04-08,"07:25:00",10,1,7,4,7,NA,1
2020-04-09,"21:40:00",10,5,3,2,8,1,1
2020-04-06,"14:10:00",8,10,8,7,0,NA,1
2020-04-09,"04:45:00",8,4,2,8,10,NA,1
2020-04-06,"17:10:00",1,5,4,5,10,NA,1
2020-04-10,"17:20:00",0,5,3,7,2,NA,1
2020-04-08,"14:35:00",5,6,1,9,6,0,1
2020-04-08,"01:45:00",8,3,6,9,5,0,1
2020-04-07,"07:45:00",2,8,10,6,1,NA,1
2020-04-09,"20:55:00",3,1,10,9,10,NA,1
2020-04-08,"06:45:00",5,4,5,9,5,NA,1
2020-04-08,"20:15:00",10,2,10,3,1,NA,1
2020-04-06,"02:15:00",3,9,8,9,9,NA,1
2020-04-09,"02:05:00",8,7,10,10,2,NA,1
2020-04-09,"01:25:00",6,4,4,3,3,1,1
2020-04-09,"02:00:00",4,1,3,10,0,NA,1
2020-04-10,"17:15:00",6,8,6,7,3,NA,1
2020-04-09,"09:50:00",3,2,5,2,0,NA,1
2020-04-07,"19:10:00",6,3,3,8,1,NA,1
2020-04-08,"04:25:00",2,3,7,1,10,NA,1
